aid;company;keyword_list;language;seperator
1050-steel grey-5XL;0;"T-Shirts;Shirts;tshirts;Trägershirts;mann;männer";de;,
1050-steel grey-L;0;"T-Shirts;Shirts;tshirts;Trägershirts;mann;männer";de;,
1050-steel grey-M;0;"T-Shirts;Shirts;tshirts;Trägershirts;mann;männer";de;,
1050-steel grey-S;0;"T-Shirts;Shirts;tshirts;Trägershirts;mann;männer";de;,
1050-steel grey-XL;0;"T-Shirts;Shirts;tshirts;Trägershirts;mann;männer";de;,
1050-steel grey-XXL;0;"T-Shirts;Shirts;tshirts;Trägershirts;mann;männer";de;,
1050-steel grey-XXXL;0;"T-Shirts;Shirts;tshirts;Trägershirts;mann;männer";de;,
1050-steel grey-4XL;0;"T-Shirts;Shirts;tshirts;Trägershirts;mann;männer";de;,
1400-berry-XXL;0;;de;,
1400-steel grey-XS;0;;de;,
1400-steel grey-XXL;0;;de;,
1400-steel grey-XXXL;0;;de;,
1400-steel grey-L;0;;de;,
1400-steel grey-S;0;;de;,
1400-steel grey-XL;0;;de;,
1400-berry-XXXL;0;;de;,
1400-berry-XS;0;;de;,
1400-berry-XL;0;;de;,
1400-berry-S;0;;de;,
1400-berry-M;0;;de;,
1400-berry-L;0;;de;,
1400-steel grey-M;0;;de;,
1410-steel grey-XXXL;0;;de;,
1410-steel grey-XXL;0;;de;,
1410-steel grey-XS;0;;de;,
1410-steel grey-XL;0;;de;,
1410-steel grey-S;0;;de;,
1410-steel grey-M;0;;de;,
1410-steel grey-L;0;;de;,
1425-berry-M;0;;de;,
1425-steel grey-XL;0;;de;,
1425-berry-L;0;;de;,
1425-steel grey-XS;0;;de;,
1425-steel grey-XXXL;0;;de;,
1425-steel grey-M;0;;de;,
1425-steel grey-XXL;0;;de;,
1425-berry-XL;0;;de;,
1425-steel grey-S;0;;de;,
1425-berry-S;0;;de;,
1425-steel grey-L;0;;de;,
1425-berry-XXXL;0;;de;,
1425-berry-XXL;0;;de;,
1425-berry-XS;0;;de;,
1450-berry-L;0;;de;,
1450-berry-M;0;;de;,
1450-berry-XL;0;;de;,
1450-berry-XXL;0;;de;,
1450-berry-XXXL;0;;de;,
1450-berry-S;0;;de;,
1450-berry-XS;0;;de;,
1451-berry-S;0;;de;,
1451-berry-XXXL;0;;de;,
1451-berry-XXL;0;;de;,
1451-berry-L;0;;de;,
1451-berry-M;0;;de;,
1451-berry-XL;0;;de;,
1451-berry-XS;0;;de;,
1460-steel grey-XXXL;0;;de;,
1460-steel grey-S;0;;de;,
1460-steel grey-M;0;;de;,
1460-steel grey-XS;0;;de;,
1460-steel grey-XXL;0;;de;,
1460-steel grey-XL;0;;de;,
1460-steel grey-L;0;;de;,
1465-berry-XL;0;;de;,
1465-berry-XXXL;0;;de;,
1465-berry-XXL;0;;de;,
1465-berry-XS;0;;de;,
1465-berry-M;0;;de;,
1465-berry-S;0;;de;,
1465-berry-L;0;;de;,
1505-berry-XXXL;0;;de;,
1505-berry-XXL;0;;de;,
1505-steel grey-L;0;;de;,
1505-steel grey-XXL;0;;de;,
1505-steel grey-XL;0;;de;,
1505-berry-XS;0;;de;,
1505-steel grey-S;0;;de;,
1505-steel grey-M;0;;de;,
1505-steel grey-XXXL;0;;de;,
1505-berry-S;0;;de;,
1505-berry-M;0;;de;,
1505-berry-L;0;;de;,
1505-steel grey-XS;0;;de;,
1505-berry-XL;0;;de;,
1515-steel grey-L;0;;de;,
1515-steel grey-XXXL;0;;de;,
1515-steel grey-XXL;0;;de;,
1515-steel grey-XS;0;;de;,
1515-steel grey-XL;0;;de;,
1515-steel grey-S;0;;de;,
1515-steel grey-M;0;;de;,
1525-berry-XXL;0;;de;,
1525-steel grey-M;0;;de;,
1525-berry-XS;0;;de;,
1525-steel grey-S;0;;de;,
1525-steel grey-XL;0;;de;,
1525-steel grey-XS;0;;de;,
1525-steel grey-XXL;0;;de;,
1525-steel grey-XXXL;0;;de;,
1525-steel grey-L;0;;de;,
1525-berry-S;0;;de;,
1525-berry-M;0;;de;,
1525-berry-L;0;;de;,
1525-berry-XL;0;;de;,
1525-berry-XXXL;0;;de;,
1545-berry-L;0;;de;,
1545-steel grey-XXL;0;;de;,
1545-steel grey-XS;0;;de;,
1545-steel grey-XL;0;;de;,
1545-steel grey-S;0;;de;,
1545-steel grey-M;0;;de;,
1545-steel grey-L;0;;de;,
1545-berry-XXXL;0;;de;,
1545-berry-XXL;0;;de;,
1545-berry-XS;0;;de;,
1545-berry-XL;0;;de;,
1545-berry-M;0;;de;,
1545-steel grey-XXXL;0;;de;,
1545-berry-S;0;;de;,
1560-steel grey-L;0;;de;,
1560-steel grey-M;0;;de;,
1560-steel grey-XXXL;0;;de;,
1560-steel grey-XXL;0;;de;,
1560-steel grey-XS;0;;de;,
1560-steel grey-XL;0;;de;,
1560-steel grey-S;0;;de;,
1565-berry-L;0;;de;,
1565-berry-M;0;;de;,
1565-berry-S;0;;de;,
1565-berry-XL;0;;de;,
1565-berry-XS;0;;de;,
1565-berry-XXL;0;;de;,
1565-berry-XXXL;0;;de;,
1600-berry-M;0;;de;,
