order_id;position_no;quantity;login;factory
1059555;1;1;2025-01-21 14:23:49;Düsseldorf
1059555;2;2;2025-01-21 14:23:49;Düsseldorf
1059555;3;2;2025-01-21 14:23:49;Düsseldorf
1059555;4;1;2025-01-21 14:23:49;Düsseldorf
1059555;1;1;2025-01-21 14:23:49;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
679470;1;0;2013-09-03 11:19:46;Düsseldorf
683939;1;0;2013-10-28 14:16:35;Düsseldorf
724353;1;0;2015-02-23 13:51:28;Düsseldorf
724759;1;0;2015-03-02 08:21:17;Düsseldorf
726599;1;0;2015-03-24 08:45:07;Düsseldorf
752153;1;0;2016-01-13 10:13:53;Düsseldorf
754993;1;0;2016-02-17 10:41:12;Düsseldorf
764833;1;0;2016-06-02 13:58:44;Düsseldorf
854149;1;0;2018-12-11 10:03:50;Düsseldorf
868353;1;0;2019-05-23 12:56:46;Düsseldorf
875209;1;0;2019-08-01 14:01:24;Düsseldorf
877672;1;0;2019-08-29 12:46:19;Düsseldorf
904385;1;0;2020-07-23 08:40:12;Düsseldorf
913758;1;0;2020-11-02 14:29:46;Düsseldorf
917976;0;65;2020-12-07 16:28:28;Düsseldorf
917976;0;26;2020-12-07 16:28:28;Düsseldorf
917976;0;2;2020-12-07 16:28:28;Düsseldorf
917976;0;25;2020-12-07 16:28:28;Düsseldorf
917976;0;102;2020-12-07 16:28:28;Düsseldorf
917976;0;125;2020-12-07 16:28:28;Düsseldorf
917976;0;40;2020-12-07 16:28:28;Düsseldorf
917976;0;3;2020-12-07 16:28:28;Düsseldorf
917976;0;59;2020-12-07 16:28:28;Düsseldorf
917976;0;23;2020-12-07 16:28:28;Düsseldorf
917976;0;59;2020-12-07 16:28:28;Düsseldorf
917976;0;21;2020-12-07 16:28:28;Düsseldorf
917976;1;0;2020-12-07 16:28:28;Düsseldorf
917976;1;0;2020-12-07 16:28:28;Düsseldorf
917976;2;0;2020-12-07 16:28:28;Düsseldorf
917976;3;0;2020-12-07 16:28:28;Düsseldorf
917976;0;0;2020-12-07 16:28:28;Düsseldorf
917976;0;0;2020-12-07 16:28:28;Düsseldorf
917976;0;0;2020-12-07 16:28:28;Düsseldorf
921190;1;0;2021-01-25 15:30:35;Düsseldorf
921582;1;0;2021-01-29 14:07:23;Düsseldorf
926111;1;0;2021-03-29 08:13:04;Düsseldorf
940660;1;0;2021-09-02 11:32:05;Düsseldorf
940661;1;0;2021-09-02 11:32:26;Düsseldorf
950490;1;0;2021-11-29 16:25:50;Düsseldorf
950492;1;0;2021-11-29 16:27:56;Düsseldorf
950494;1;0;2021-11-29 16:30:10;Düsseldorf
950503;1;0;2021-11-29 16:43:40;Düsseldorf
951016;1;0;2021-12-02 15:36:42;Düsseldorf
987768;1;0;2022-12-01 11:31:23;Düsseldorf
987885;1;0;2022-12-02 08:52:33;Düsseldorf
988057;1;0;2022-12-05 09:00:22;Düsseldorf
988058;1;0;2022-12-05 09:06:06;Düsseldorf
988061;1;0;2022-12-05 09:07:10;Düsseldorf
989894;1;0;2022-12-22 13:59:29;Düsseldorf
993203;1;0;2023-02-06 11:24:39;Düsseldorf
994215;1;0;2023-02-15 11:03:59;Düsseldorf
998302;1;0;2023-03-29 14:24:39;Düsseldorf
999679;1;0;2023-04-13 09:54:57;Düsseldorf
999680;1;0;2023-04-13 09:55:42;Düsseldorf
1002305;1;0;2023-05-08 08:03:06;Düsseldorf
1003871;1;0;2023-05-22 12:35:24;Düsseldorf
1007574;1;0;2023-06-23 10:17:56;Düsseldorf
1010087;1;0;2023-07-17 10:20:13;Düsseldorf
1010914;1;0;2023-07-24 15:21:36;Düsseldorf
1012850;1;0;2023-08-11 14:14:59;Düsseldorf
1015529;1;0;2023-09-08 14:57:12;Düsseldorf
1022791;1;0;2023-11-23 14:39:32;Düsseldorf
